mal_id,title,large_image_url,episodes,score,year,genre1,genre2,genre3
"1","Cowboy Bebop","https://cdn.myanimelist.net/images/anime/4/19644l.jpg","26","8.75","1998","Action","Award Winning","Sci-Fi"
"6","Trigun","https://cdn.myanimelist.net/images/anime/1130/120002l.jpg","26","8.22","1998","Action","Adventure","Sci-Fi"
"7","Witch Hunter Robin","https://cdn.myanimelist.net/images/anime/10/19969l.jpg","26","7.24","2002","Action","Drama","Mystery"
"8","Bouken Ou Beet","https://cdn.myanimelist.net/images/anime/7/21569l.jpg","52","6.93","2004","Action","Adventure","Fantasy"
"15","Eyeshield 21","https://cdn.myanimelist.net/images/anime/1079/133529l.jpg","145","7.91","2005","Sports","",""
"16","Hachimitsu to Clover","https://cdn.myanimelist.net/images/anime/1301/133577l.jpg","24","7.98","2005","Comedy","Drama","Romance"
"17","Hungry Heart: Wild Striker","https://cdn.myanimelist.net/images/anime/12/49655l.jpg","52","7.54","2002","Sports","",""
"18","Initial D Fourth Stage","https://cdn.myanimelist.net/images/anime/9/10521l.jpg","24","8.17","2004","Action","Drama",""
"19","Monster","https://cdn.myanimelist.net/images/anime/10/18793l.jpg","74","8.89","2004","Drama","Mystery","Suspense"
"20","Naruto","https://cdn.myanimelist.net/images/anime/1141/142503l.jpg","220","8.01","2002","Action","Adventure","Fantasy"
"21","One Piece","https://cdn.myanimelist.net/images/anime/1244/138851l.jpg","999","8.73","1999","Action","Adventure","Fantasy"
"22","Tennis no Oujisama","https://cdn.myanimelist.net/images/anime/6/21624l.jpg","178","7.85","2001","Sports","",""
"23","Ring ni Kakero 1","https://cdn.myanimelist.net/images/anime/1121/149685l.jpg","12","6.35","2004","Sports","",""
"24","School Rumble","https://cdn.myanimelist.net/images/anime/1465/142014l.jpg","26","7.88","2004","Comedy","Romance",""
"25","Sunabouzu","https://cdn.myanimelist.net/images/anime/6/75536l.jpg","24","7.36","2004","Action","Adventure","Comedy"
"26","Texhnolyze","https://cdn.myanimelist.net/images/anime/1027/131977l.jpg","22","7.75","2003","Avant Garde","Drama","Mystery"
"27","Trinity Blood","https://cdn.myanimelist.net/images/anime/10/24649l.jpg","24","7.28","2005","Action","Fantasy","Sci-Fi"
"28","Yakitate!! Japan","https://cdn.myanimelist.net/images/anime/3/76432l.jpg","69","7.91","2004","Comedy","Gourmet",""
"29","Zipang","https://cdn.myanimelist.net/images/anime/13/75740l.jpg","26","7.49","2004","Action","Drama","Sci-Fi"
"30","Shinseiki Evangelion","https://cdn.myanimelist.net/images/anime/1314/108941l.jpg","26","8.36","1995","Action","Avant Garde","Award Winning"
"33","Kenpuu Denki Berserk","https://cdn.myanimelist.net/images/anime/1384/119988l.jpg","25","8.6","1997","Action","Adventure","Drama"
"45","Rurouni Kenshin: Meiji Kenkaku Romantan","https://cdn.myanimelist.net/images/anime/1346/119505l.jpg","94","8.28","1996","Action","Comedy","Romance"
"48",".hack//Sign","https://cdn.myanimelist.net/images/anime/1443/94665l.jpg","26","6.94","2002","Adventure","Fantasy","Mystery"
"50","Aa! Megami-sama! (TV)","https://cdn.myanimelist.net/images/anime/1976/99376l.jpg","24","7.31","2005","Comedy","Romance","Supernatural"
"52","Kidou Tenshi Angelic Layer","https://cdn.myanimelist.net/images/anime/1192/113699l.jpg","26","7.26","2001","Award Winning","Comedy","Drama"
"53","Ai Yori Aoshi","https://cdn.myanimelist.net/images/anime/7/10172l.jpg","24","7.1","2002","Comedy","Drama","Romance"
"55","Arc the Lad","https://cdn.myanimelist.net/images/anime/3/49041l.jpg","26","6.49","1999","Action","Adventure","Fantasy"
"56","Avenger","https://cdn.myanimelist.net/images/anime/13/19921l.jpg","13","5.85","2003","Adventure","Fantasy","Sci-Fi"
"57","Beck","https://cdn.myanimelist.net/images/anime/11/11636l.jpg","26","8.29","2004","Drama","",""
"58","Blue Gender","https://cdn.myanimelist.net/images/anime/1/2023l.jpg","26","7.01","1999","Action","Adventure","Drama"
"59","Chobits","https://cdn.myanimelist.net/images/anime/4/24648l.jpg","26","7.39","2002","Comedy","Drama","Romance"
"60","Chrno Crusade","https://cdn.myanimelist.net/images/anime/13/14141l.jpg","24","7.6","2003","Action","Romance","Supernatural"
"61","D.N.Angel","https://cdn.myanimelist.net/images/anime/1126/98904l.jpg","26","7.16","2003","Action","Comedy","Fantasy"
"62","D.C.: Da Capo","https://cdn.myanimelist.net/images/anime/4/73936l.jpg","26","6.71","2003","Drama","Romance",""
"63","DearS","https://cdn.myanimelist.net/images/anime/1207/98872l.jpg","12","6.54","2004","Comedy","Romance","Sci-Fi"
"64","Rozen Maiden","https://cdn.myanimelist.net/images/anime/1424/108431l.jpg","12","7.4","2004","Action","Drama","Supernatural"
"65","Rozen Maiden: Träumend","https://cdn.myanimelist.net/images/anime/4/10242l.jpg","12","7.61","2005","Action","Drama","Supernatural"
"66","Azumanga Daiou The Animation","https://cdn.myanimelist.net/images/anime/1066/117358l.jpg","26","8.06","2002","Comedy","",""
"67","Basilisk: Kouga Ninpou Chou","https://cdn.myanimelist.net/images/anime/1103/133549l.jpg","24","7.53","2005","Action","Drama","Romance"
"68","Black Cat","https://cdn.myanimelist.net/images/anime/1183/133280l.jpg","23","7.31","2005","Action","Adventure","Sci-Fi"
"69","Cluster Edge","https://cdn.myanimelist.net/images/anime/1980/103243l.jpg","25","6.31","2005","Action","Fantasy","Sci-Fi"
"71","Full Metal Panic!","https://cdn.myanimelist.net/images/anime/2/75259l.jpg","24","7.59","2002","Action","Comedy","Sci-Fi"
"72","Full Metal Panic? Fumoffu","https://cdn.myanimelist.net/images/anime/4/75260l.jpg","12","8.02","2003","Action","Comedy",""
"73","Full Metal Panic! The Second Raid","https://cdn.myanimelist.net/images/anime/11/75261l.jpg","13","7.91","2005","Action","",""
"74","Gakuen Alice","https://cdn.myanimelist.net/images/anime/4/18118l.jpg","26","7.64","2004","Comedy","",""
"75","Soukyuu no Fafner: Dead Aggressor","https://cdn.myanimelist.net/images/anime/3/50365l.jpg","25","7.25","2004","Action","Drama","Sci-Fi"
"76","Mahou Shoujo Lyrical Nanoha","https://cdn.myanimelist.net/images/anime/1052/136283l.jpg","13","7.41","2004","Action","Comedy","Drama"
"77","Mahou Shoujo Lyrical Nanoha A's","https://cdn.myanimelist.net/images/anime/4/6767l.jpg","13","7.95","2005","Action","Comedy","Drama"
"79","Shuffle!","https://cdn.myanimelist.net/images/anime/1290/133860l.jpg","24","7.01","2005","Comedy","Fantasy","Romance"
"80","Kidou Senshi Gundam","https://cdn.myanimelist.net/images/anime/5/88524l.jpg","43","7.76","1979","Action","Drama","Sci-Fi"
