mal_id,title,large_image_url,episodes,score,year,genre1,genre2,genre3
"1","Cowboy Bebop","https://cdn.myanimelist.net/images/anime/4/19644l.jpg","26","8.75","","Action","Award Winning","Sci-Fi"
"6","Trigun","https://cdn.myanimelist.net/images/anime/1130/120002l.jpg","26","8.22","","Action","Adventure","Sci-Fi"
"7","Witch Hunter Robin","https://cdn.myanimelist.net/images/anime/10/19969l.jpg","26","7.24","","Action","Drama","Mystery"
"8","Bouken Ou Beet","https://cdn.myanimelist.net/images/anime/7/21569l.jpg","52","6.93","","Action","Adventure","Fantasy"
"15","Eyeshield 21","https://cdn.myanimelist.net/images/anime/1079/133529l.jpg","145","7.91","","Sports","",""
"16","Hachimitsu to Clover","https://cdn.myanimelist.net/images/anime/1301/133577l.jpg","24","7.98","","Comedy","Drama","Romance"
"17","Hungry Heart: Wild Striker","https://cdn.myanimelist.net/images/anime/12/49655l.jpg","52","7.54","","Sports","",""
"18","Initial D Fourth Stage","https://cdn.myanimelist.net/images/anime/9/10521l.jpg","24","8.17","","Action","Drama",""
"19","Monster","https://cdn.myanimelist.net/images/anime/10/18793l.jpg","74","8.89","","Drama","Mystery","Suspense"
"20","Naruto","https://cdn.myanimelist.net/images/anime/1141/142503l.jpg","220","8.01","","Action","Adventure","Fantasy"
"21","One Piece","https://cdn.myanimelist.net/images/anime/1244/138851l.jpg","","8.73","","Action","Adventure","Fantasy"
"22","Tennis no Oujisama","https://cdn.myanimelist.net/images/anime/6/21624l.jpg","178","7.85","","Sports","",""
"23","Ring ni Kakero 1","https://cdn.myanimelist.net/images/anime/1121/149685l.jpg","12","6.35","","Sports","",""
"24","School Rumble","https://cdn.myanimelist.net/images/anime/1465/142014l.jpg","26","7.88","","Comedy","Romance",""
"25","Sunabouzu","https://cdn.myanimelist.net/images/anime/6/75536l.jpg","24","7.36","","Action","Adventure","Comedy"
"26","Texhnolyze","https://cdn.myanimelist.net/images/anime/1027/131977l.jpg","22","7.75","","Avant Garde","Drama","Mystery"
"27","Trinity Blood","https://cdn.myanimelist.net/images/anime/10/24649l.jpg","24","7.28","","Action","Fantasy","Sci-Fi"
"28","Yakitate!! Japan","https://cdn.myanimelist.net/images/anime/3/76432l.jpg","69","7.91","","Comedy","Gourmet",""
"29","Zipang","https://cdn.myanimelist.net/images/anime/13/75740l.jpg","26","7.49","","Action","Drama","Sci-Fi"
"30","Shinseiki Evangelion","https://cdn.myanimelist.net/images/anime/1314/108941l.jpg","26","8.36","","Action","Avant Garde","Award Winning"
"33","Kenpuu Denki Berserk","https://cdn.myanimelist.net/images/anime/1384/119988l.jpg","25","8.6","","Action","Adventure","Drama"
"301","Cinderella Boy","https://cdn.myanimelist.net/images/anime/1029/147665l.jpg","13","6.32","","Action","Adventure","Comedy"
"302","Mirai Shounen Conan","https://cdn.myanimelist.net/images/anime/6/17529l.jpg","26","8.09","","Adventure","Drama","Sci-Fi"
"303","Aa! Megami-sama!: Chichaitte Koto wa Benri da ne","https://cdn.myanimelist.net/images/anime/1/303l.jpg","48","6.88","","Comedy","Supernatural",""
"306","Abenobashi Mahou☆Shoutengai","https://cdn.myanimelist.net/images/anime/1350/113655l.jpg","13","7.21","","Award Winning","Comedy","Fantasy"
"307","Kerokko Demetan","https://cdn.myanimelist.net/images/anime/1807/108565l.jpg","39","6.05","","Comedy","Fantasy",""
"308","Zettai Shounen","https://cdn.myanimelist.net/images/anime/12/4905l.jpg","26","6.85","","Drama","Fantasy","Mystery"
"309","Akahori Gedou Hour Rabuge","https://cdn.myanimelist.net/images/anime/4/75541l.jpg","13","6.1","","Comedy","",""
"310","Chiisana Obake: Acchi, Kocchi, Socchi","https://cdn.myanimelist.net/images/anime/1893/100728l.jpg","50","6.09","","Comedy","Supernatural",""
"311","Ace wo Nerae!","https://cdn.myanimelist.net/images/anime/1414/91264l.jpg","26","7.09","","Drama","Romance","Sports"
"318","Hand Maid May","https://cdn.myanimelist.net/images/anime/1497/140178l.jpg","10","6.68","","Comedy","Romance","Sci-Fi"
"321","Najica Dengeki Sakusen","https://cdn.myanimelist.net/images/anime/11/22210l.jpg","12","5.97","","Action","Comedy","Sci-Fi"
"322","Paradise Kiss","https://cdn.myanimelist.net/images/anime/7/80636l.jpg","12","7.87","","Drama","Romance",""
