mal_id,title,large_image_url,chapters,score,published_from,year,genre1,genre2,genre3
"1","Monster","https://cdn.myanimelist.net/images/manga/3/258224l.jpg","162","9.16","1994-12-05","1994","Award Winning","Drama","Mystery"
"2","Berserk","https://cdn.myanimelist.net/images/manga/1/157897l.jpg","","9.47","1989-08-25","1989","Action","Adventure","Award Winning"
"3","20th Century Boys","https://cdn.myanimelist.net/images/manga/5/260006l.jpg","249","8.94","1999-09-27","1999","Award Winning","Drama","Mystery"
"4","Yokohama Kaidashi Kikou","https://cdn.myanimelist.net/images/manga/1/171813l.jpg","142","8.65","1994-04-25","1994","Award Winning","Sci-Fi","Slice of Life"
"7","Hajime no Ippo","https://cdn.myanimelist.net/images/manga/2/250313l.jpg","","8.74","1989-09-27","1989","Award Winning","Sports",""
"8","Full Moon wo Sagashite","https://cdn.myanimelist.net/images/manga/3/175970l.jpg","35","8.02","2001-12-01","2001","Comedy","Drama","Fantasy"
"9","Tsubasa: RESERVoir CHRoNiCLE","https://cdn.myanimelist.net/images/manga/1/272410l.jpg","233","8.29","2003-05-21","2003","Action","Adventure","Drama"
"10","xxxHOLiC","https://cdn.myanimelist.net/images/manga/3/217533l.jpg","213","8.37","2003-02-24","2003","Comedy","Drama","Mystery"
"11","Naruto","https://cdn.myanimelist.net/images/manga/3/249658l.jpg","700","8.08","1999-09-21","1999","Action","Adventure","Fantasy"
"12","Bleach","https://cdn.myanimelist.net/images/manga/3/180031l.jpg","705","7.9","2001-08-07","2001","Action","Adventure","Award Winning"
"13","One Piece","https://cdn.myanimelist.net/images/manga/2/253146l.jpg","","9.22","1997-07-22","1997","Action","Adventure","Fantasy"
"14","Rave","https://cdn.myanimelist.net/images/manga/3/255624l.jpg","298","7.84","1999-07-07","1999","Adventure","Comedy","Fantasy"
"15","Mahou Sensei Negima!","https://cdn.myanimelist.net/images/manga/1/259286l.jpg","355","7.91","2003-02-26","2003","Action","Adventure","Comedy"
"16","Love Hina","https://cdn.myanimelist.net/images/manga/1/259287l.jpg","120","7.77","1998-10-21","1998","Award Winning","Comedy","Romance"
"17","Kareshi Kanojo no Jijou","https://cdn.myanimelist.net/images/manga/1/267780l.jpg","108","8.14","1995-12-22","1995","Comedy","Drama","Romance"
"18","Kodomo no Omocha","https://cdn.myanimelist.net/images/manga/1/267715l.jpg","54","8.29","1994-07-02","1994","Award Winning","Comedy","Drama"
"19","GetBackers","https://cdn.myanimelist.net/images/manga/1/169369l.jpg","344","7.61","1999-03-24","1999","Action","Comedy","Drama"
"20","Hikaru no Go","https://cdn.myanimelist.net/images/manga/2/170574l.jpg","198","8.11","1998-12-08","1998","Award Winning","Comedy","Drama"
"21","Death Note","https://cdn.myanimelist.net/images/manga/1/258245l.jpg","108","8.69","2003-12-01","2003","Supernatural","Suspense",""
"22","Rurouni Kenshin: Meiji Kenkaku Romantan","https://cdn.myanimelist.net/images/manga/2/127583l.jpg","259","8.54","1994-04-12","1994","Action","Drama",""
"23","Ranma ½","https://cdn.myanimelist.net/images/manga/1/156534l.jpg","407","7.99","1987-08-05","1987","Action","Comedy","Romance"
"24","D.Gray-man","https://cdn.myanimelist.net/images/manga/3/240470l.jpg","","8.28","2004-05-31","2004","Action","Adventure","Fantasy"
"25","Fullmetal Alchemist","https://cdn.myanimelist.net/images/manga/3/243675l.jpg","116","9.04","2001-07-12","2001","Action","Adventure","Award Winning"
"26","Hunter x Hunter","https://cdn.myanimelist.net/images/manga/2/253119l.jpg","","8.76","1998-03-03","1998","Action","Adventure","Fantasy"
"27","X","https://cdn.myanimelist.net/images/manga/2/267781l.jpg","158","8.09","1992-03-24","1992","Action","Drama","Fantasy"
"28","Nana","https://cdn.myanimelist.net/images/manga/1/262324l.jpg","84","8.8","2000-05-26","2000","Award Winning","Drama","Romance"
"29","Paradise Kiss","https://cdn.myanimelist.net/images/manga/1/262323l.jpg","48","8.29","1999-03-23","1999","Drama","Romance",""
"30","Ouran Koukou Host Club","https://cdn.myanimelist.net/images/manga/3/267782l.jpg","87","8.5","2002-07-24","2002","Comedy","Drama","Romance"
"31","Lovely★Complex","https://cdn.myanimelist.net/images/manga/1/209659l.jpg","68","8.32","2001-08-13","2001","Award Winning","Comedy","Drama"
"32","666 Satan","https://cdn.myanimelist.net/images/manga/3/267783l.jpg","78","7.42","2001-08-11","2001","Action","Adventure","Comedy"
"33","Pita-Ten","https://cdn.myanimelist.net/images/manga/3/191236l.jpg","47","7.33","1999-08-27","1999","Comedy","Drama","Fantasy"
"34","Di Gi Charat: Koushiki Comic Anthology","https://cdn.myanimelist.net/images/manga/1/267784l.jpg","72","6.53","1998-07-01","1998","Comedy","Fantasy","Sci-Fi"
"35","Kamichama Karin","https://cdn.myanimelist.net/images/manga/2/267789l.jpg","32","7.49","2002-11-02","2002","Comedy","Drama","Romance"
"36","Kamikaze Kaitou Jeanne","https://cdn.myanimelist.net/images/manga/2/267790l.jpg","33","7.78","1997-12-29","1997","Action","Drama","Romance"
"37","Shinshi Doumei Cross","https://cdn.myanimelist.net/images/manga/3/257940l.jpg","59","7.84","2004-08-03","2004","Comedy","Drama","Romance"
"38","+Anima","https://cdn.myanimelist.net/images/manga/2/267791l.jpg","59","7.65","1999-12-27","1999","Adventure","Fantasy",""
"39","Zombie Powder.","https://cdn.myanimelist.net/images/manga/3/180035l.jpg","30","6.96","1999-07-20","1999","Action","Adventure","Supernatural"
"40","Black Cat","https://cdn.myanimelist.net/images/manga/2/186071l.jpg","187","7.78","2000-07-11","2000","Action","Adventure","Comedy"
"41","Busou Renkin","https://cdn.myanimelist.net/images/manga/2/149583l.jpg","83","7.22","2003-06-23","2003","Action","Comedy","Fantasy"
"42","Dragon Ball","https://cdn.myanimelist.net/images/manga/1/267793l.jpg","520","8.44","1984-11-20","1984","Action","Adventure","Fantasy"
"43","Eyeshield 21","https://cdn.myanimelist.net/images/manga/2/165586l.jpg","333","8.46","2002-07-23","2002","Sports","",""
"44","Gintama","https://cdn.myanimelist.net/images/manga/3/267795l.jpg","709","8.64","2003-12-08","2003","Action","Comedy","Sci-Fi"
"45","Ichigo 100%","https://cdn.myanimelist.net/images/manga/2/259714l.jpg","167","7.75","2002-02-19","2002","Comedy","Drama","Romance"
"46","Kannade","https://cdn.myanimelist.net/images/manga/3/267796l.jpg","15","6.8","2003-09-22","2003","Action","Mystery",""
"47","Katekyou Hitman Reborn!","https://cdn.myanimelist.net/images/manga/2/253085l.jpg","411","8.1","2004-05-24","2004","Action","Comedy",""
"48","Pretty Face","https://cdn.myanimelist.net/images/manga/1/123699l.jpg","53","7.56","2002-05-14","2002","Comedy","Romance","Ecchi"
"49","Tennis no Oujisama","https://cdn.myanimelist.net/images/manga/3/153238l.jpg","382","7.69","1999-07-06","1999","Sports","",""
"50","Shaman King","https://cdn.myanimelist.net/images/manga/2/255376l.jpg","288","7.77","1998-06-30","1998","Action","Adventure","Comedy"
"51","Slam Dunk","https://cdn.myanimelist.net/images/manga/2/258749l.jpg","276","9.08","1990-09-18","1990","Award Winning","Sports",""
"52","Whistle!","https://cdn.myanimelist.net/images/manga/1/267799l.jpg","216","7.72","1998-02-24","1998","Drama","Sports",""
"53","Yuu☆Yuu☆Hakusho","https://cdn.myanimelist.net/images/manga/3/250027l.jpg","176","8.18","1990-11-20","1990","Action","Award Winning","Comedy"
"54","Yu☆Gi☆Oh!","https://cdn.myanimelist.net/images/manga/2/262097l.jpg","343","7.67","1996-09-17","1996","Action","Adventure","Comedy"
"55","Aishiteruze Baby★★","https://cdn.myanimelist.net/images/manga/1/166559l.jpg","33","7.89","2002-03-02","2002","Comedy","Drama","Romance"
"56","Caramel Diary","https://cdn.myanimelist.net/images/manga/3/261021l.jpg","5","6.6","1999-03-18","1999","Comedy","Romance",""
"57","Hanazakari no Kimitachi e","https://cdn.myanimelist.net/images/manga/3/262555l.jpg","148","8.27","1996-08-20","1996","Comedy","Drama","Romance"
"58","W-Juliet","https://cdn.myanimelist.net/images/manga/3/256786l.jpg","79","7.9","1997-10-15","1997","Comedy","Drama","Romance"
"59","√W.P.B.","https://cdn.myanimelist.net/images/manga/2/169856l.jpg","12","","2002-09-18","2002","Action","Adventure","Comedy"
"60","π","https://cdn.myanimelist.net/images/manga/1/267899l.jpg","101","","2002-09-09","2002","Comedy","Romance","Ecchi"
"61","Seito no Shucho Kyoushi no Honbun","https://cdn.myanimelist.net/images/manga/2/267900l.jpg","7","6.46","1997-07-01","1997","Boys Love","Drama","Erotica"
"62","± Junkie","https://cdn.myanimelist.net/images/manga/2/112127l.jpg","4","6.16","2003-06-03","2003","Drama","Romance",""
"63","""Aruto"" no ""A""","https://cdn.myanimelist.net/images/manga/2/164540l.jpg","","","1988-11-12","1988","Drama","Romance",""
"64","13 Nichi wa Kinyoubi?","https://cdn.myanimelist.net/images/manga/3/83691l.jpg","15","6.75","2003-03-03","2003","Mystery","Supernatural",""
"65","17-sai: Hajimete no H","https://cdn.myanimelist.net/images/manga/3/267903l.jpg","7","6.44","2001-06-26","2001","Drama","Romance",""
"66","Ninin ga Shinobuden","https://cdn.myanimelist.net/images/manga/3/143955l.jpg","68","6.83","2000-07-18","2000","Comedy","",""
"67","2001-ya Monogatari","https://cdn.myanimelist.net/images/manga/1/267904l.jpg","20","7.67","1984-05-05","1984","Drama","Sci-Fi",""
"68","3.3.7 Byooshi!!","https://cdn.myanimelist.net/images/manga/1/267905l.jpg","86","7.08","2001-07-25","2001","Comedy","Drama","Romance"
"69","""Suki"" to Ienai.","https://cdn.myanimelist.net/images/manga/2/267906l.jpg","1","6.72","2006-10-14","2006","Romance","",""
"70","Übel Blatt","https://cdn.myanimelist.net/images/manga/2/55347l.jpg","167","7.59","2004-12-03","2004","Action","Adventure","Fantasy"
"71","Zettai Kareshi.","https://cdn.myanimelist.net/images/manga/1/185981l.jpg","35","7.66","2003-05-20","2003","Comedy","Drama","Romance"
"72","Abenobashi Mahou☆Shoutengai","https://cdn.myanimelist.net/images/manga/1/267907l.jpg","12","6.53","2001-07-26","2001","Adventure","Comedy","Fantasy"
"73","Tenjou Tenge","https://cdn.myanimelist.net/images/manga/3/267909l.jpg","136","7.24","1997-10-18","1997","Action","Drama","Romance"
"74","Air Gear","https://cdn.myanimelist.net/images/manga/1/167489l.jpg","358","7.78","2002-11-06","2002","Action","Award Winning","Supernatural"
"75","Ai yori Aoshi","https://cdn.myanimelist.net/images/manga/3/184631l.jpg","153","7.52","1998-11-27","1998","Comedy","Drama","Romance"
"76","Akachan to Boku","https://cdn.myanimelist.net/images/manga/3/179184l.jpg","108","7.66","1991-05-02","1991","Award Winning","Comedy","Drama"
"77","Alice 19th","https://cdn.myanimelist.net/images/manga/3/258981l.jpg","40","7.33","2001-06-20","2001","Comedy","Drama","Fantasy"
"78","Alichino","https://cdn.myanimelist.net/images/manga/3/267910l.jpg","17","7.04","1998-11-01","1998","Fantasy","Supernatural",""
"79","Sora wa Akai Kawa no Hotori","https://cdn.myanimelist.net/images/manga/2/260695l.jpg","96","8.28","1995-01-05","1995","Action","Adventure","Award Winning"
"80","Angelic Layer","https://cdn.myanimelist.net/images/manga/3/179060l.jpg","28","7.11","1998-12-26","1998","Action","Comedy","Drama"
"81","Aria","https://cdn.myanimelist.net/images/manga/2/202644l.jpg","67","8.61","2002-02-28","2002","Sci-Fi","Slice of Life",""
"83","Ayashi no Ceres","https://cdn.myanimelist.net/images/manga/3/160959l.jpg","83","7.55","1996-08-05","1996","Award Winning","Drama","Fantasy"
"84","Fushigi Yuugi","https://cdn.myanimelist.net/images/manga/3/267911l.jpg","106","7.63","1992-05-01","1992","Action","Adventure","Drama"
"85","Azumanga Daioh","https://cdn.myanimelist.net/images/manga/2/259651l.jpg","69","8.37","1999-01-18","1999","Comedy","Slice of Life",""
"86","Time Stranger Kyoko","https://cdn.myanimelist.net/images/manga/2/175908l.jpg","13","7.17","2000-08-03","2000","Adventure","Fantasy","Romance"
"87","Tactics","https://cdn.myanimelist.net/images/manga/3/158123l.jpg","82","7.33","2000-12-18","2000","Mystery","Supernatural",""
