mal_id,title,large_image_url,episodes,score,year,genre1,genre2,genre3
"52991","Sousou no Frieren","https://cdn.myanimelist.net/images/anime/1015/138006l.jpg","28","9.3","2023","Adventure","Drama","Fantasy"
"5114","Fullmetal Alchemist: Brotherhood","https://cdn.myanimelist.net/images/anime/1208/94745l.jpg","64","9.1","2009","Action","Adventure","Drama"
"9253","Steins;Gate","https://cdn.myanimelist.net/images/anime/1935/127974l.jpg","24","9.07","2011","Drama","Sci-Fi","Suspense"
"38524","Shingeki no Kyojin Season 3 Part 2","https://cdn.myanimelist.net/images/anime/1517/100633l.jpg","10","9.05","2019","Action","Drama","Suspense"
"28977","Gintama°","https://cdn.myanimelist.net/images/anime/3/72078l.jpg","51","9.05","2015","Action","Comedy","Sci-Fi"
"11061","Hunter x Hunter (2011)","https://cdn.myanimelist.net/images/anime/1337/99013l.jpg","148","9.03","2011","Action","Adventure","Fantasy"
"9969","Gintama'","https://cdn.myanimelist.net/images/anime/4/50361l.jpg","51","9.02","2011","Action","Comedy","Sci-Fi"
"15417","Gintama': Enchousen","https://cdn.myanimelist.net/images/anime/1452/123686l.jpg","13","9.02","2012","Action","Comedy","Sci-Fi"
"41467","Bleach: Sennen Kessen-hen","https://cdn.myanimelist.net/images/anime/1908/135431l.jpg","13","9","2022","Action","Adventure","Supernatural"
"34096","Gintama.","https://cdn.myanimelist.net/images/anime/3/83528l.jpg","12","8.98","2017","Action","Comedy","Sci-Fi"
"43608","Kaguya-sama wa Kokurasetai: Ultra Romantic","https://cdn.myanimelist.net/images/anime/1160/122627l.jpg","13","8.98","2022","Comedy","Romance",""
"42938","Fruits Basket: The Final","https://cdn.myanimelist.net/images/anime/1085/114792l.jpg","13","8.95","2021","Drama","Romance","Supernatural"
"4181","Clannad: After Story","https://cdn.myanimelist.net/images/anime/1299/110774l.jpg","24","8.93","2008","Drama","Romance",""
"918","Gintama","https://cdn.myanimelist.net/images/anime/10/73274l.jpg","201","8.93","2006","Action","Comedy","Sci-Fi"
"35180","3-gatsu no Lion 2nd Season","https://cdn.myanimelist.net/images/anime/3/88469l.jpg","22","8.91","2017","Drama","",""
"2904","Code Geass: Hangyaku no Lelouch R2","https://cdn.myanimelist.net/images/anime/1088/135089l.jpg","25","8.91","2008","Action","Award Winning","Drama"
"19","Monster","https://cdn.myanimelist.net/images/anime/10/18793l.jpg","74","8.89","2004","Drama","Mystery","Suspense"
"37491","Gintama. Shirogane no Tamashii-hen - Kouhan-sen","https://cdn.myanimelist.net/images/anime/1776/96566l.jpg","14","8.88","2018","Action","Comedy","Sci-Fi"
"54492","Kusuriya no Hitorigoto","https://cdn.myanimelist.net/images/anime/1708/138033l.jpg","24","8.87","2023","Drama","Mystery",""
